store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
124,Fresh Food,Rehab,36,3.6,44.24,31.4849,30.0684
125,Krispy Kreme,Mohandessin,37,2.7,44.64,31.2044,30.0412
126,Bisco Misr,Nasr City,21,3.3,69.77,31.3361,30.0725
127,Simonds,6th October,31,5.0,61.2,30.9337,29.9527
128,Bake Rolz,Sheikh Zayed,21,2.5,83.12,30.9281,30.0031
129,Breadwinner,Sheikh Zayed,40,3.8,64.09,30.9216,30.0172
130,Starbucks,Shoubra,35,2.6,43.33,31.254,30.0772
131,Tutti Frutti,Zamalek,18,2.8,53.75,31.2186,30.0567
132,Paul,Tagamoa,30,3.4,78.77,31.4661,30.0007
133,Bake Rolz,Maadi,37,4.0,92.29,31.2691,29.971
134,Fresh Food,Zamalek,25,2.9,28.66,31.2227,30.0522
135,Krispy Kreme,6th October,6,2.5,82.78,30.9093,29.9382
136,Tutti Frutti,Korba,30,2.8,39.14,31.326,30.0819
137,Auntie Anne's,Zamalek,27,3.7,25.55,31.2211,30.0693
138,Bake Rolz,Shoubra,39,3.5,91.64,31.2545,30.0959
139,Bisco Misr,Dokki,6,4.1,41.69,31.2044,30.0259
140,Tutti Frutti,Korba,20,4.4,28.33,31.3292,30.0857
141,Lychee,Giza,36,4.1,57.82,31.2188,29.994
142,Bisco Misr,Dokki,37,2.9,95.68,31.2013,30.0328
143,Beano's,Maadi,18,3.3,99.48,31.2708,29.9719
144,Cilantro,Tagamoa,21,3.2,77.68,31.4245,30.003
145,Bake Rolz,Nasr City,10,4.4,96.84,31.3274,30.0615
146,Tutti Frutti,6th October,21,4.5,95.8,30.975,29.9732
147,Harris Cafe,New Cairo,24,3.9,99.94,31.489,29.9988
148,Baskin Robbins,6th October,24,2.5,39.39,30.9472,29.9595
149,Dukes,Nasr City,25,3.2,43.77,31.3475,30.0505
150,Lychee,Zamalek,27,4.4,70.85,31.2241,30.0574
151,Auntie Anne's,Giza,27,4.9,96.82,31.2102,29.9937
152,House of Donuts,Heliopolis,25,4.1,57.8,31.3453,30.0976
153,Nola Cupcakes,Korba,5,3.0,46.02,31.3359,30.0802
154,Gourmet,Nasr City,19,4.3,95.51,31.3505,30.0557
155,Patchi,Downtown,29,2.8,48.03,31.2406,30.0551
156,Dukes,Dokki,26,4.4,89.72,31.2102,30.037
157,Baskin Robbins,Shoubra,12,2.7,40.12,31.2557,30.0905
158,Paul,Heliopolis,20,4.2,52.02,31.3454,30.102
159,El Abd,Nasr City,38,4.2,50.87,31.3294,30.0766
160,Cookiedoodle,Nasr City,8,3.2,38.31,31.3268,30.0646
161,Cookiedoodle,Heliopolis,24,2.7,48.93,31.3301,30.0841
162,Tutti Frutti,Giza,27,3.2,92.93,31.2032,30.0056
163,Dunkin,Sheikh Zayed,28,2.7,90.25,30.9731,30.0268
164,Nola Cupcakes,Zamalek,36,4.7,90.42,31.2224,30.0637
165,Le Chantilly,Nasr City,40,3.4,66.59,31.3469,30.0724
166,Bisco Misr,Downtown,7,3.7,89.02,31.2576,30.0435
167,Gourmet,Tagamoa,30,4.1,42.69,31.4257,30.0043
168,Auntie Anne's,Downtown,16,4.0,41.0,31.2579,30.0417
169,Cake Maison,Downtown,35,4.8,94.69,31.2534,30.0587
170,Cinnabon,Sheikh Zayed,31,4.9,57.14,30.9763,30.0388
171,Simonds,Nasr City,36,3.8,77.77,31.3172,30.0663
172,Auntie Anne's,Tagamoa,15,4.1,38.69,31.427,29.995
173,Starbucks,Maadi,11,4.5,38.69,31.2476,29.9761
174,Le Chantilly,Shoubra,6,2.9,42.43,31.2559,30.0973
175,Nola Cupcakes,New Cairo,13,4.2,25.23,31.5021,29.9994
176,Starbucks,Korba,13,4.5,59.48,31.3292,30.0904
177,Baskin Robbins,Downtown,5,4.5,47.6,31.2409,30.0429
178,El Abd,Sheikh Zayed,30,2.9,58.43,30.928,30.0271
179,Harris Cafe,Tagamoa,20,3.8,28.47,31.4594,30.0188
180,House of Donuts,Shoubra,12,3.3,77.79,31.2573,30.0787
181,El Abd,Giza,8,3.9,55.42,31.1915,29.9952
182,Cold Stone,Tagamoa,30,3.5,48.64,31.4261,30.0138
183,El Abd,Nasr City,9,3.1,68.33,31.351,30.0727
184,Cilantro,Giza,16,3.5,83.42,31.2017,30.0008
185,Dukes,Heliopolis,15,4.7,68.24,31.3309,30.0882
186,Simonds,Zamalek,32,2.7,28.3,31.2225,30.0689
187,Beano's,Dokki,14,4.5,42.38,31.2077,30.0393
188,House of Donuts,Tagamoa,38,4.9,81.66,31.449,30.0217
189,House of Donuts,Heliopolis,27,3.8,31.95,31.3344,30.1027
190,Auntie Anne's,Giza,19,3.5,84.89,31.197,29.9983
191,Harris Cafe,Shoubra,37,3.6,33.38,31.2395,30.0928
192,Baskin Robbins,Shoubra,13,4.2,84.89,31.2385,30.0847
193,La Poire,Nasr City,20,4.6,50.06,31.3158,30.0728
194,Beano's,Maadi,30,2.7,61.09,31.2563,29.9736
195,Etoile,Rehab,12,4.3,38.64,31.4966,30.0731
196,Patchi,Shoubra,34,4.3,65.09,31.2376,30.0803
197,Etoile,New Cairo,30,4.0,79.51,31.493,30.0046
198,Harris Cafe,New Cairo,15,4.2,41.84,31.4971,30.0142
199,Beano's,Dokki,11,4.8,64.34,31.2042,30.0356
200,Bake Rolz,Zamalek,9,4.0,99.12,31.2277,30.0518
201,Dunkin,Mohandessin,20,4.6,95.97,31.1983,30.0436
202,House of Donuts,Rehab,5,4.6,69.36,31.5004,30.0427
203,Dunkin,Sheikh Zayed,13,4.5,99.96,30.9243,30.0135
204,Harris Cafe,Heliopolis,38,3.8,89.2,31.3485,30.1012
205,Fresh Food,Mohandessin,26,2.8,94.33,31.1925,30.065
206,El Abd,Heliopolis,9,2.6,67.27,31.3542,30.0966
207,Costa Coffee,Shoubra,17,5.0,87.24,31.2533,30.0877
208,Cinnabon,Dokki,26,3.5,80.62,31.2067,30.0448
209,Marble Slab,Shoubra,39,4.7,97.74,31.2468,30.0977
210,Cake Maison,Sheikh Zayed,9,3.4,43.03,30.9328,30.0126
211,Simonds,Dokki,39,4.2,73.01,31.2025,30.0452
212,Cookiedoodle,New Cairo,16,4.2,82.98,31.5076,30.0034
213,Marble Slab,Zamalek,22,3.0,56.89,31.2163,30.0521
214,Paul,Downtown,32,4.8,87.53,31.2394,30.0404
215,Baskin Robbins,Mohandessin,15,4.2,42.28,31.1946,30.0646
216,Costa Coffee,Tagamoa,23,4.2,63.88,31.4768,30.0215
217,Cookiedoodle,Rehab,36,3.3,41.9,31.505,30.0739
218,Le Chantilly,Korba,26,4.2,96.64,31.3207,30.0801
219,Nola Cupcakes,Dokki,16,2.6,71.39,31.2073,30.0493
220,Marble Slab,Dokki,21,4.8,37.28,31.2189,30.0206
221,Bake Rolz,Zamalek,36,3.7,36.49,31.2287,30.0531
222,Lychee,Tagamoa,37,2.5,29.77,31.4799,29.9989
223,Cold Stone,Rehab,25,3.7,95.05,31.4926,30.0704
224,Costa Coffee,6th October,27,2.7,57.99,30.9572,29.9558
225,Bake Rolz,Heliopolis,19,3.5,36.81,31.3508,30.0928
226,Auntie Anne's,6th October,6,4.5,63.17,30.9455,29.9357
227,Tutti Frutti,Giza,6,4.3,58.75,31.2096,29.9912
228,Edita,Mohandessin,19,2.5,95.13,31.1967,30.0544
229,Tutti Frutti,Tagamoa,30,3.6,29.78,31.4754,29.9973
230,Le Chantilly,Korba,33,4.1,76.4,31.3238,30.0964
231,Beano's,New Cairo,18,4.1,37.69,31.4858,30.0308
232,Cilantro,Tagamoa,31,3.1,64.26,31.464,30.0275
233,Le Chantilly,Giza,10,2.8,76.59,31.1956,29.9911
234,Marble Slab,Downtown,39,3.7,27.69,31.2405,30.048
235,Gourmet,Maadi,6,3.2,71.87,31.2703,29.9599
236,Harris Cafe,Shoubra,34,3.3,81.71,31.2364,30.0905
237,Simonds,Mohandessin,37,4.2,79.2,31.2042,30.0652
238,Paul,New Cairo,19,2.7,63.3,31.4581,30.0071
239,TBS,Dokki,23,3.2,65.82,31.2099,30.0245
240,Mandarine Koueider,Heliopolis,10,4.9,93.58,31.3351,30.0805
241,Baskin Robbins,Korba,35,4.1,42.11,31.3377,30.0867
242,Breadwinner,Mohandessin,29,5.0,90.93,31.1936,30.056
243,Marble Slab,6th October,14,2.5,90.47,30.9425,29.9442
244,Starbucks,6th October,16,4.2,99.92,30.8889,29.9434
245,Patchi,Nasr City,9,4.3,89.84,31.3133,30.0617
246,Etoile,Dokki,11,2.6,29.9,31.2001,30.0405
247,Fresh Food,New Cairo,36,4.9,41.03,31.5011,30.0324
248,Tutti Frutti,Tagamoa,32,3.1,67.55,31.4742,30.0261
249,House of Donuts,Giza,8,4.2,43.76,31.1942,30.0008
250,Baskin Robbins,Sheikh Zayed,39,4.4,79.06,30.9663,30.036
251,Le Chantilly,Dokki,39,3.9,67.42,31.2017,30.0351
252,Starbucks,Nasr City,39,4.7,39.88,31.3469,30.0756
253,Dunkin,Rehab,36,4.5,74.96,31.4811,30.0557
254,Bake Rolz,Dokki,38,2.7,29.61,31.2021,30.0272
255,Cookiedoodle,Nasr City,21,3.2,57.79,31.3528,30.0587
256,Marble Slab,6th October,26,3.3,28.79,30.9723,29.9512
257,Nola Cupcakes,Korba,21,2.9,63.74,31.3334,30.0932
258,Paul,New Cairo,20,3.3,45.07,31.4839,30.0209
259,Patchi,Maadi,39,3.1,50.85,31.2731,29.9744
260,Beano's,6th October,25,4.3,46.78,30.9617,29.9564
261,House of Donuts,Zamalek,34,4.0,30.79,31.2293,30.0571
262,Baskin Robbins,Mohandessin,8,2.9,87.4,31.1949,30.0463
263,Nola Cupcakes,Tagamoa,19,4.0,25.6,31.46,30.0012
264,Krispy Kreme,Tagamoa,32,4.9,39.79,31.4794,29.9957
265,Fresh Food,Heliopolis,13,3.3,44.02,31.36,30.1005
266,Etoile,Giza,16,4.9,92.07,31.2189,30.0106
267,House of Donuts,6th October,5,4.0,28.39,30.951,29.9265
268,Harris Cafe,Dokki,29,4.9,33.24,31.2074,30.0481
269,El Abd,Downtown,36,4.2,90.68,31.2569,30.0511
270,Krispy Kreme,Rehab,9,3.8,54.96,31.4953,30.0551
271,Paul,Heliopolis,23,4.3,94.62,31.3404,30.088
272,Baskin Robbins,Giza,32,3.6,44.42,31.2093,29.9933
273,Costa Coffee,Dokki,16,3.3,36.22,31.2094,30.0341
274,Simonds,Downtown,11,3.5,35.27,31.2376,30.0425
275,House of Donuts,Rehab,37,3.5,53.41,31.5079,30.0743
276,Simonds,Korba,24,4.9,45.2,31.3283,30.0991
277,Le Chantilly,Giza,27,3.8,77.34,31.2086,29.9999
278,Dukes,Heliopolis,27,4.2,81.51,31.3465,30.1017
279,Bisco Misr,Tagamoa,27,2.6,73.96,31.4779,30.0178
280,Edita,Downtown,27,3.9,47.71,31.2468,30.0519
281,Breadwinner,Downtown,22,4.6,29.1,31.2572,30.054
282,Mandarine Koueider,Heliopolis,14,3.3,75.83,31.3327,30.0875
283,Etoile,Zamalek,35,3.8,65.13,31.214,30.067
284,Edita,Heliopolis,30,2.8,72.68,31.3453,30.0985
285,Paul,Zamalek,5,4.0,59.19,31.2173,30.0565
286,Beano's,Downtown,7,3.3,30.71,31.2401,30.0583
287,Bisco Misr,Sheikh Zayed,6,4.2,89.03,30.9413,30.0158
288,Bake Rolz,6th October,23,3.4,54.11,30.946,29.9757
289,TBS,Mohandessin,33,3.0,40.28,31.2015,30.0623
290,TBS,New Cairo,33,3.7,55.69,31.5198,30.0355
291,Lychee,Giza,34,4.8,35.26,31.2167,30.0078
292,Bisco Misr,Shoubra,36,2.6,65.39,31.2579,30.079
293,Le Chantilly,Nasr City,35,3.0,71.84,31.3248,30.0756
294,Patchi,Mohandessin,39,4.2,61.27,31.2043,30.0503
295,El Abd,Downtown,31,3.3,65.88,31.2434,30.0404
296,Dunkin,Zamalek,28,3.3,42.7,31.2117,30.0534
297,Cake Maison,Zamalek,17,4.4,32.16,31.2242,30.0578
298,Cold Stone,Korba,25,2.9,82.41,31.3247,30.0935
299,House of Donuts,6th October,25,3.2,86.6,30.9775,29.9284
300,Nola Cupcakes,Korba,15,2.6,73.93,31.3399,30.0864
301,Dukes,Downtown,34,4.5,37.32,31.23,30.0451
302,Lychee,Mohandessin,22,3.7,92.87,31.1965,30.0463
303,Paul,Mohandessin,21,4.8,29.55,31.2015,30.0501
304,El Abd,Heliopolis,20,3.7,44.81,31.3485,30.0867
305,El Abd,Shoubra,17,2.6,40.69,31.2547,30.0737
306,Baskin Robbins,Dokki,9,4.9,72.68,31.206,30.0248
307,Gourmet,Shoubra,40,3.5,64.18,31.2467,30.0989
308,Tutti Frutti,Downtown,20,3.5,38.61,31.2468,30.0498
309,TBS,Zamalek,18,4.8,79.99,31.2168,30.057
310,Cold Stone,Rehab,37,3.7,52.57,31.5169,30.0576
311,Bake Rolz,Dokki,10,2.7,37.75,31.2128,30.0407
312,Breadwinner,Maadi,13,3.4,87.09,31.2476,29.9643
313,Nola Cupcakes,Nasr City,15,2.7,93.49,31.3404,30.0681
314,Breadwinner,Nasr City,20,4.0,53.77,31.3485,30.0641
315,Etoile,Giza,30,3.1,53.11,31.202,30.0056
316,Fresh Food,Mohandessin,10,4.1,63.75,31.2078,30.069
317,Breadwinner,Shoubra,16,3.4,26.37,31.2436,30.0882
318,Cookiedoodle,Korba,39,3.0,32.33,31.3217,30.0802
319,Mandarine Koueider,Downtown,15,3.4,67.32,31.2343,30.043
320,Starbucks,Mohandessin,21,4.4,43.06,31.1935,30.0407
321,Mandarine Koueider,Heliopolis,9,3.7,55.02,31.3386,30.1043
322,Nola Cupcakes,Tagamoa,31,3.4,83.67,31.4336,30.0075
323,Cookiedoodle,Shoubra,23,4.5,79.62,31.2406,30.0745
324,Cake Maison,6th October,38,3.9,85.67,30.9796,29.9615
325,Costa Coffee,Rehab,35,3.3,32.41,31.5118,30.0541
326,Bake Rolz,Shoubra,11,3.4,55.15,31.252,30.0889
327,Tutti Frutti,Giza,29,3.0,97.96,31.2039,30.0064
328,Edita,6th October,9,4.9,67.94,30.955,29.9312
329,Lychee,6th October,12,4.6,25.87,30.9573,29.9391
330,Marble Slab,Mohandessin,7,4.0,32.56,31.1944,30.0479
331,House of Donuts,New Cairo,5,4.0,74.67,31.4276,29.9908
332,Simonds,Mohandessin,28,4.4,88.23,31.2021,30.0552
333,Cilantro,Downtown,17,4.6,50.43,31.2574,30.0577
334,Marble Slab,Mohandessin,17,3.7,27.64,31.2013,30.0563
335,Fresh Food,Nasr City,37,3.2,90.56,31.3115,30.073
336,Auntie Anne's,Mohandessin,11,4.8,63.57,31.2039,30.0477
337,Gourmet,Dokki,34,4.4,93.76,31.2022,30.0289
338,Marble Slab,Tagamoa,15,4.6,42.38,31.4325,30.0151
339,Krispy Kreme,New Cairo,11,3.1,98.99,31.5026,29.9921
340,Bisco Misr,Downtown,20,2.9,91.34,31.2315,30.0591
341,Gourmet,Mohandessin,30,4.4,92.39,31.2016,30.0586
342,Simonds,Downtown,5,5.0,69.47,31.2391,30.0597
343,Edita,Heliopolis,17,3.5,61.54,31.3319,30.1031
344,Edita,Nasr City,39,3.8,67.25,31.3187,30.0734
345,Krispy Kreme,Sheikh Zayed,20,4.9,97.16,30.967,30.0246
346,Breadwinner,Rehab,19,4.9,78.2,31.5131,30.0627
347,Baskin Robbins,6th October,35,4.3,92.67,30.9374,29.9773
348,Krispy Kreme,Korba,33,3.5,84.73,31.337,30.0964
349,Dipndip,Downtown,18,4.2,32.65,31.2502,30.0471
350,Harris Cafe,Maadi,18,3.2,80.65,31.2447,29.9622
351,Auntie Anne's,Mohandessin,19,3.8,98.71,31.2045,30.0539
352,El Abd,Nasr City,9,4.1,45.27,31.3116,30.0581
353,Krispy Kreme,Sheikh Zayed,29,3.0,34.31,30.9606,30.001
354,Etoile,Sheikh Zayed,35,4.4,65.71,30.9482,30.0043
355,Lychee,Maadi,6,4.3,80.78,31.2667,29.9636
356,Dunkin,Giza,5,4.1,84.7,31.1917,30.0072
357,Lychee,Maadi,15,4.1,34.48,31.2655,29.958
358,Patchi,Nasr City,29,5.0,82.08,31.3184,30.0779
359,Dunkin,Downtown,19,4.8,68.19,31.2471,30.0467
360,Cake Maison,Maadi,7,3.3,53.63,31.2586,29.9467
361,Dipndip,Tagamoa,19,2.5,51.63,31.4378,30.0225
362,Breadwinner,Shoubra,38,2.7,28.82,31.2429,30.0922
363,Dunkin,Sheikh Zayed,27,2.7,26.64,30.9561,30.0305
364,Costa Coffee,Giza,32,4.5,92.68,31.211,30.0195
365,Nola Cupcakes,Mohandessin,39,4.0,38.26,31.2024,30.0635
366,Cookiedoodle,Zamalek,40,3.5,84.78,31.2113,30.0564
367,Cold Stone,Shoubra,25,2.9,71.32,31.2521,30.0802
368,Dipndip,Rehab,23,3.7,26.87,31.5094,30.047
369,Dukes,Heliopolis,5,4.6,91.98,31.3308,30.0815
370,Cold Stone,Mohandessin,30,4.2,36.3,31.2072,30.058
371,House of Donuts,Tagamoa,37,3.1,59.72,31.457,30.0051
372,Harris Cafe,Sheikh Zayed,7,3.8,74.24,30.9615,30.0313
373,Cinnabon,New Cairo,17,4.2,37.45,31.498,30.0091
374,Edita,Giza,17,4.9,45.69,31.1936,29.9967
375,Dunkin,Zamalek,28,2.7,55.91,31.213,30.0697
376,Bake Rolz,Zamalek,21,4.3,58.22,31.2102,30.0566
377,Paul,Tagamoa,33,3.8,73.18,31.4754,30.0167
378,Edita,Dokki,35,3.3,54.68,31.2025,30.0234
379,Mandarine Koueider,Nasr City,20,4.3,52.35,31.3101,30.0771
380,Patchi,6th October,15,3.4,65.53,30.957,29.9577
381,Simonds,Rehab,14,4.7,25.89,31.4883,30.0402
382,Bisco Misr,Heliopolis,10,2.6,95.87,31.3544,30.087
383,Costa Coffee,Mohandessin,23,4.9,28.33,31.1947,30.0531
384,Mandarine Koueider,Zamalek,19,4.0,93.65,31.2221,30.0549
385,Lychee,Korba,5,2.6,67.36,31.3234,30.0989
386,Edita,Nasr City,35,3.1,83.42,31.3579,30.0677
387,Krispy Kreme,Dokki,20,3.6,57.62,31.2124,30.0242
388,Dunkin,Downtown,11,4.2,48.84,31.233,30.0538
389,El Abd,Giza,14,2.9,38.57,31.2054,29.998
390,Marble Slab,Dokki,36,3.3,64.6,31.2031,30.0391
391,Cookiedoodle,Maadi,10,3.5,44.45,31.2467,29.9503
392,Baskin Robbins,Tagamoa,28,4.7,76.92,31.4222,30.0227
393,Simonds,Korba,37,3.5,80.56,31.3221,30.0925
394,Beano's,Dokki,11,4.0,33.01,31.2188,30.0258
395,Fresh Food,Korba,21,3.8,85.91,31.3259,30.0832
396,TBS,Giza,32,3.5,83.01,31.2092,30.0069
397,Le Chantilly,New Cairo,37,4.3,32.73,31.4321,30.027
398,Baskin Robbins,New Cairo,25,4.2,78.23,31.4972,30.0119
399,Etoile,Shoubra,10,4.2,97.69,31.2364,30.0992
400,Cinnabon,New Cairo,25,4.5,32.86,31.4929,30.0287
401,Etoile,Tagamoa,17,2.9,51.74,31.4682,29.9971
402,La Poire,Heliopolis,39,4.8,25.45,31.3258,30.1041
403,Krispy Kreme,Zamalek,25,4.6,70.85,31.2136,30.0534
